kategori_obat,obat,Description,Dosis ,Efek Samping,Cara_Penyimpanan
"Obat Batuk, Pilek, dan Flu",Phenzacol,Phenzacol merupakan salah satu obat untuk mengatasi keluhan batuk dan juga flu. Apa sih kandungan dan efek samping obat Phenzacol?,"Anda bisa konsumsi makanan bergizi, istirahat cukup, rajin olahraga, dan minum air putih untuk membantu pemulihan.","Obat Phenzacol mengandung zat aktif paracetamol, phenylpropanolamine, chlorpheniramine maleate, dan dextromethorphan HBr.","Namun, ada kalanya tubuh membutuhkan obat flu dan batuk. Dari sekian banyak obat flu yang dijual di pasaran, Phenzacol adalah salah satunya."
"Obat Batuk, Pilek, dan Flu",Phenerica,Phenerica adalah obat yang digunakan untuk meredakan batuk yang disebabkan oleh alergi.,Efek samping yang mungkin timbul adalah:,"Interaksi Obat
Phenerica dapat berinteraksi dengan obat-obatan berikut:","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Phenacold Expectorant,Phenacold adalah obat yang digunakan untuk meredakan batuk.,Efek samping yang mungkin dapat terjadi adalah:,"Interaksi Obat
Dapat berinteraksi dengan obat golongan MAOI (monoamine oxidase inhibitors/penghambat monoamine oksidase).","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Pectocil,Pectocil adalah obat yang berfungsi untuk mengatasi infeksi pada saluran pernapasan.,Pectocil merupakan obat keras yang memerlukan resep dokter.,Efek samping yang mungkin timbul selama penggunaan Pectocil adalah:,Simpan pada suhu antara 20-25 derajat Celsius.
"Obat Batuk, Pilek, dan Flu",Paratusin,"Anda sakit kepala, deman, dan flu? Paratusin bisa mengatasi hal tersebut. Apa kandungan dan manfaat obat Paratusin? Kita simak di sini.","Paratusin adalah obat yang digunakan untuk meringankan gejala influenza, seperti sakit kepala, demam, bersin-bersin, batuk, dan hidung tersumbat.","Paratusin bermanfaat untuk mengatasi gejala-gejala flu, seperti demam, hidung berair, pilek, dan bersin-bersin.","Tersedia dalam bentuk tablet dan sirup, adakah beda kandungan keduanya? Simak di sini."
"Obat Batuk, Pilek, dan Flu",Paratenza,"Paratenza adalah obat untuk mengatasi batuk, pilek, hingga demam. Kamu dapat menemukan Paratenza di apotek dalam sediaan suspensi.","Paratenza berfungsi untuk menangani demam, gejala flu, dan batuk.",Aturan penggunaan obat Paratenza adalah sebagai berikut:,"Artikel Lainnya: Sering Tertukar, Ini Perbedaan Gejala Flu dan Pilek Biasa"
"Obat Batuk, Pilek, dan Flu",Paramex,"Paramex merupakan obat yang dapat mengurangi nyeri kepala ringan hingga sedang, nyeri gigi, gejala flu dan dapat menurunkan demam.","Cara Penyimpanan
Simpan pada suhu dibawah 30 derajat Celcius.","Kontraindikasi
Hindari penggunaan pada pasien yang memiliki hipersensitifitas terhadap salah satu komposisi dari Paramex.",Efek samping yang mungkin terjadi adalah:
"Obat Batuk, Pilek, dan Flu",Paraflu,"Paraflu digunakan untuk meredakan gejala flu, seperti hidung tersumbat, batuk berdahak disertai demam dan sakit kepala. Apa kandungannya? Yuk, simak penjelasannya di sini.","Paraflu memiliki kegunaan utama membantu meredakan gejala flu, seperti bersin, pilek, demam disertai batuk.",Berikut dosis dan cara penggunaan Paraflu sesuai indikasi.,Paraflu merupakan obat bebas terbatas yang dapat diperoleh dan digunakan tanpa resep dokter dalam jumlah terbatas.
"Obat Batuk, Pilek, dan Flu",Panadol Cold dan Flu,Panadol Cold dan Flu digunakan untuk meredakan gejala flu yang disertai dengan batuk tidak berdahak.,Cara Penggunaan Panadol Cold dan Flu adalah sebagai berikut:,"Simpan pada suhu di bawah 30 derajat Celcius, di tempat kering dan sejuk.","Dewasa: 1 kaplet, diminum tiap 4-6 jam. Dosis maksimum: 8 kaplet perhari."
"Obat Batuk, Pilek, dan Flu",Panadol,"Demam, sakit kepala, atau sakit gigi bisa diatasi dengan Panadol. Apa itu obat Panadol? Simak di sini kandungan dan aturan pakainya.",Peringatan Menyusui: Paracetamol terdistribusi ke dalam ASI dalam jumlah sedikit jadi masih terbilang aman untuk bayi.,Sedia Panadol di tas bisa membantu jika suatu waktu sakit kepala datang di tengah aktivitas.,"Sakit kepala tiba-tiba bisa disebabkan oleh banyak faktor, seperti kurang tidur, terlambat makan, kelelahan, atau sebagai gejala penyakit lain."
"Obat Batuk, Pilek, dan Flu",Pacdin Cough Sirup,"Pacdin Cough Sirup adalah obat untuk mengatasi batuk berdahak, demam, dan gejala flu pada anak-anak.","Tersedia dalam rasa original dan strawberry, berikut penjelasan lengkap seputar obat Pacdin Cough Sirup lebih lanjut.","Manfaat sirup Pacdin Cough adalah mengatasi batuk, demam, dan gejala flu pada anak-anak. Misalnya, sakit kepala, bersin, dan hidung tersumbat.",Artikel lainnya: Cara Efektif Mengatasi Hidung Tersumbat
"Obat Batuk, Pilek, dan Flu",Oxymetazoline,"Oxymetazoline adalah obat yang digunakan untuk mengatasi hidung tersumbat akibat pilek, alergi, atau sinusitis. Ketahui informasi selengkapnya.","Oxymetazoline digunakan untuk melembapkan rongga hidung yang kering dan meradang akibat dingin, mengatasi alergi, mimisan ringan, dan iritasi hidung ringan lainnya.",Tujuan: mengatasi hidung tersumbat,Berikut dosis Oxymetazoline dan aturan pakainya.
"Obat Batuk, Pilek, dan Flu",Oxopect,"Oxopect merupakan obat yang digunakan untuk mengatasi batuk berdahak, batuk akibat alergi, dan batuk kering.","Efek samping yang mungkin terjadi selama penggunaan Oxopect, seperti:","Interaksi Obat
Hindari penggunaan Oxopect bersamaan dengan obat-obat berikut:","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Otrivin,Otrivin digunakan untuk mengurangi aliran darah dan hidung tersumbat.,Efek samping penggunaan Otrivin yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan Otrivin pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Oskadryl PE,Oskadryl PE digunakan untuk membantu mengobati batuk berdahak dan batuk yang disebabkan oleh alergi.,Efek samping penggunaan Oskadryl PE yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan Oskadryl PE pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Oskadryl Extra,"Oskadryl Extra merupakan tablet yang digunakan untuk meringankan batuk, bersin-bersin, serta sakit kepala akibat hidung tersumbat","Efek samping yang mungkin terjadi selama pengunaan Oskadryl Extra, yaitu:","Interaksi Obat
 Penggunaan bersamaan dengan antidepresan tipe penghambat Monoamine Oksidasi (MAO) dapat mengakibatkan krisis hipertensi.","Kontraindikasi
 Hindari penggunaan Oskadryl Extra pada pasien yang memiliki indikasi:"
"Obat Batuk, Pilek, dan Flu",Oskadryl Batuk Berdahak,Oskadryl Batuk Berdahak digunakan untuk mengencerkan dahak pada saluran pernapasan.,Efek samping penggunaan Oskadryl Batuk Berdahak yang mungkin terjadi adalah:,"Interaksi Obat
Bromhexine dapat meningkatkan penyerapan antibiotik jika digunakan secara bersamaan.","Kontraindikasi
Hindari pemberian pada pasien yang hipersensitif (reaksi berlebihan atau sangat sensitif) terhadap kandungan dalam obat tersebut."
"Obat Batuk, Pilek, dan Flu",Oratifed Plus Cough Suppresant,Oratifed Plus Cough Suppresant merupakan obat yang digunakan untuk membantu meredahkan Flu dan batuk,Efek samping yang mungkin dapat terjadi:,"Interaksi Obat
Penggunaan Oratifed Plus Cough Suppresant bersama amfetamin dapat meningkatkan tekanan darah.","Kontraindikasi
Sensitivitas terhadap agen simpatomimetik lainnya (misalnya, efedrin, fenilpropanolamin, fenilefrin) dan pasien yang menerima terapi MAOI."
"Obat Batuk, Pilek, dan Flu",Omesolvon,Omesolvon digunakan untuk mengencerkan dahak pada saluran pernapasan.,"Efek samping yang mungkin terjadi selama penggunaan Omesolvon, antara lain:","Interaksi Obat
Berikut Interaksi obat yang umumnya terjadi saat penggunaan Bromhexine dengan Antibiotik dapat meningkatkan penyerapan obat.","Kontraindikasi
Hindari penggunaan Omesolvon pada pasien yang memiliki indikasi hipersensitif terhadap Bromhexine HCl."
"Obat Batuk, Pilek, dan Flu",Omeroxol,Omeroxol adalah obat untuk membantu mengencerkan batuk berdahak dan berlendir pada saluran pernapasan. Apa kandungan Omeroxol?,"Tersedia dalam sediaan sirup dan tablet, berikut penjelasan lengkap seputar obat Omeroxol.",Obat Omeroxol berfungsi untuk membantu mengencerkan batuk berdahak dan berlendir pada saluran pernapasan.,Artikel Lainnya: Penyebab Batuk Tak Kunjung Sembuh yang Mesti Diwaspadai
"Obat Batuk, Pilek, dan Flu",Omecough,"Omecough adalah obat yang dapat digunakan untuk menurunkan demam, flu, bersin-bersin, dan batuk berdahak",Efek samping yang mungkin terjadi apabila menggunakan obat Omecough adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Omecold,Omecold digunakan untuk meringankan gejala flu.,"Cara Penyimpanan
Simpan pada suhu di bawah 30°C.","Kontraidikasi
Tidak boleh diberikan pada pasien yang hipersensitif.",Efek samping Omecold yang mungkin terjadi adalah:
"Obat Batuk, Pilek, dan Flu",Obat Batuk Ibu dan Anak,"Obat batuk ibu dan anak adalah obat herbal yang digunakan untuk membantu memelihara kesehatan paru-paru, melegakan tenggorokan, dan batuk berdahak pada anak-anak usia diatas 3 tahun dan dewasa.","Salah satu kandungan obat batuk ibu dan anak yaitu Folium Eriobotryae. Folium Eriobotryae merupakan salah satu obat herbal yang banyak digunakan untuk meredakan batuk sekaligus mengurangi lendir pada saluran nafas. Tidak hanya itu, tanaman ini juga memiliki efek lain seperti anti inflamasi atau anti peradangan.",Artikel lainnya: 5 Cara Alami Mengatasi Batuk dan Pilek pada Anak,"Selain itu, obat batuk ibu dan anak juga mengandung beberapa bahan alam lainnya, salah satunya Bulbus Fritillariae Cirrhosae yang bermanfaat untuk mengatasi gangguan pernapasan sekaligus sebagai agen mukolitik atau pengencer dahak. Dengan kandungan bahan alam tersebut obat ini diyakini dapat membantu meringankan gejala batuk berdahak."
"Obat Batuk, Pilek, dan Flu",OBH Nellco Special,OBH Nellco Special merupakan obat yang berbentuk sediaan sirup yang digunakan untuk membantu meredakan batuk berdahak.,Komponen dalam OBH Nellco Special bisa terdistribusi ke dalam ASI. Beri tahu dokter jika kamu sedang menyusui.,"Zat aktif tersebut dapat membantu menurunkan demam, nyeri, meredakan batuk berdahak, serta melegakan hidung tersumbat.","Selain glycyrihizae succus, OBH Nellco Special juga mengandung paracetamol, ammonium chloride, ephedrine HCl, dan chlorpheniramine maleate."
"Obat Batuk, Pilek, dan Flu",OBH Itrasal,"Saat batuk menyerang, OBH Itrasal bisa jadi pilihan untuk meredakannya. Yuk, dicek manfaat, dosis, efek samping, dan komposisi OBH Itrasal.",Batuk dan pilek jadi salah satu keluhan umum di saat musim penghujan tiba.,Salah satu obat batuk yang bisa Anda gunakan adalah OBH Itrasal.,Tepat memilih obat batuk diperlukan agar batuk cepat reda dan tidak berkepanjangan.
"Obat Batuk, Pilek, dan Flu",OBH IKA,OBH IKA merupakan obat batuk yang digunakan untuk membantu meredakan batuk berdahak.,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius.","Kontraindikasi
Tidak boleh diberikan pada pasien yang hipersensitif terhadap komponen yang terkandung dalam produk.",Belum ada efek samping yang dilaporkan.
"Obat Batuk, Pilek, dan Flu",OBH Combi Batuk Plus Flu,OBH Combi Batuk Plus Flu merupakan obat yang digunakan untuk meredakan batuk yang disertai gejala-gejala flu.,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius.","Kontraindikasi
Tidak boleh diberikan pada pasien yang hipersensitif terhadap OBH Combi Batuk Plus Flu.",Efek samping yang mungkin terjadi selama pengunaan OBH Combi Batuk Plus Flu antara lain mengantuk.
"Obat Batuk, Pilek, dan Flu",OBH Combi Batuk Berdahak,OBH Combi Batuk Berdahak merupakan obat yang diproduksi oleh Combiphar. Obat ini digunakan untuk meredakan batuk dan gejala flu. Ini penjelasan lengkapnya.,Manfaat OBH Combi Batuk Berdahak adalah untuk meredakan batuk dan gejala flu.,Tujuan: Meredakan batuk dan gejala flu,"OBH Combi Batuk Berdahak merupakan obat bebas sehingga dapat dibeli tanpa resep dokter. Aturan pakai OBH Combi Batuk Berdahak secara umum, yaitu:"
"Obat Batuk, Pilek, dan Flu",OBH Combi Anak Batuk Plus Flu,"OBH Combi Anak Batuk Plus Flu digunakan untuk meredakan batuk, meringankan gejala flu seperti sakit kepala, demam, hidung tersumbat","Obat ini tersedia dalam berbagai macam rasa yang bakal disukai si kecil, seperti apel, madu, jeruk, dan strawberry.",Obat OBH Combi Anak Batuk Plus Flu digunakan untuk:,Artikel lainnya: Jenis Obat Flu yang Aman Dikonsumsi Anak
"Obat Batuk, Pilek, dan Flu",OBH AFI,OBH AFI mengandung glycyrrhizae succus dan amonium klorida yang dapat meringankan batuk berdahak. Cari tahu informasinya di sini.,"Obat sirup ini tersedia dalam beberapa varian rasa, yaitu lemon, madu, dan mint. Berikut penjelasan selengkapnya.",Artikel lainnya: Cara Ampuh untuk Mengeluarkan Dahak di Tenggorokan,Manfaat OBH AFI sirup adalah mengobati batuk berdahak dengan cara mencairkan dan mempermudah pengeluaran dahak.
"Obat Batuk, Pilek, dan Flu",OB Herbal,OB Herbal adalah obat yang digunakan untuk meredakan gejala batuk yang mengganggu. Apa kandungan OB Herbal? Cari tahu informasinya di sini.,Berikut adalah dosis dan anjuran umum OB Herbal.,Bentuk: sirup,Tujuan: meredakan batuk
"Obat Batuk, Pilek, dan Flu",Nytex,Nytex diindikasikan untuk pengobatan mukolitik (pengencer dahak).,Efek samping penggunaan Nytex yang mungkin terjadi adalah:,"Kontraindikasi
Tidak boleh diberikan pada anak usia kurang dari 2 tahun.",Overdosis
"Obat Batuk, Pilek, dan Flu",Noza,Noza digunakan untuk meredakan gejala flu.,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius.","Kontraindikasi
Tidak cocok digunakan untuk anak-anak di bawah 12 tahun, wanita hamil dan menyusui, kecuali atas anjuran Dokter.",Efek samping yang mungkin terjadi selama mengkonsumsi obat ini adalah:
"Obat Batuk, Pilek, dan Flu",Nosfocin,"Nosfocin adalah obat antibiotik yang digunakan untuk mengobati infeksi bakteri. Berikut penjelasan cara kerja, dosis, efek samping, dan kontraindikasi penggunaan Nosfocin secara lengkap.","Nosfocin sirup adalah obat yang digunakan untuk meredakan batuk akibat infeksi saluran pernapasan. Sirup ini membantu mengurangi iritasi pada tenggorokan dan saluran napas, sehingga gejala batuk dapat berkurang.","Nosfocin merupakan obat keras, hanya bisa didapatkan dan digunakan dengan resep dokter. Dosis Nosfocin bervariasi tergantung kondisi pasien. Konsultasikan pada dokter Kamu terlebih dahulu sebelum mengonsumsi obat ini.",Obat ini biasanya diberikan pada anak-anak dan orang dewasa yang mengalami batuk karena infeksi bakteri.
"Obat Batuk, Pilek, dan Flu",Nodrof,Nodrof kaplet merupakan obat yang di produksi oleh Tempo Scan Pacific Tbk.,Efek samping yang mungkin terjadi adalah:,Interaksi obat,"Kontraindikasi
Hindari pemberian pada Ibu hamil dan menyusui, Lansia (umur diatas 60 tahun), Hipertensi (tekanan darah tinggi), Diabetes Melitus (kencing manis), dan Gangguan ginjal."
"Obat Batuk, Pilek, dan Flu",Nipe,"Nipe digunakan untuk meringankan gejala-gejala yang menyertai flu misalnya demam, sakit kepala, pilek, nyeri otot & hidung tersumbat.",Efek samping yang mungkin timbul adalah:,"Interaksi Obat
Tidak boleh diberikan secara bersamaan dengan amfetamin atau propanolamin, dan golongan obat MAOIs.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Nichofed,Nichofed digunakan untuk meredakan hidung tersumbat dan sinus.,Efek samping penggunaan Nichofed yang mungkin terjadi adalah:,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:",Overdosis
"Obat Batuk, Pilek, dan Flu",Neozep Forte,Neozep Forte obat yang digunakan sebagai analgesik dan antipiretik. Apa saja kandungan obat ini dan bagaimana cara pakainya? Cari tahu informasi lengkapnya di sini.,"Manfaat Neozep Forte adalah sebagai analgesik atau obat yang meringankan rasa nyeri, antipiretik atau dapat menurunkan demam, meringankan hidung tersumbat, dan sebagai antihistamin.","Manfaat Neozep Forte adalah untuk meringankan gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin.",Artikel Lainnya: Cara Membedakan Gejala Flu dan Panas Dalam
"Obat Batuk, Pilek, dan Flu",Neosma,Neosma Kaplet merupakan obat yang di produksi oleh IFARS.,Efek samping penggunaan Neosma yang mungkin terjadi adalah:,"Interaksi Obat
 Neosma akan berinteraksi dengan golongan obat β-blockers jika di berikan bersamaan.
 
 Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan neosma ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Neomethor,Neomethor digunakan untuk meredakan batuk yang disebabkan oleh alergi.,Simpan pada suhu di bawah 30°C.,Efek samping Neomethor yang mungkin terjadi adalah:,Artikel Lainnya: 10 Alasan Mengapa Kamu Mengalami Batuk Terus-menerus
"Obat Batuk, Pilek, dan Flu",Neo Rheumacyl Neuro,"Neo Rheumacyl Neuro digunakan untuk meringankan rasa nyeri atau ngilu yang disertai kebas, kesemutan dan kram.","Penggunaan Neo Rheumacyl Neuro: 1 kaplet diminum 3 kali sehari, sesudah makan.",Efek samping penggunaan Neo Rheumacyl Neuro yang mungkin terjadi adalah:,"Cara Penyimpanan
Simpan pada suhu dibawah 30 derajat Celcius."
"Obat Batuk, Pilek, dan Flu",Neo Rheumacyl Krim,Neo Rheumacyl Krim digunakan untuk mengobati sakit ringan dan nyeri otot atau sendi,Penggunaan Neo Rheumacyl Krim dengan dioleskan dan digosok hingga rata pada bagian yang nyeri 2-3 kali sehari atau sesuai kebutuhan.,"Efek samping yang mungkin terjadi selama penggunaan Neo Rheumacyl Krim, seperti:","Cara Penyimpanan
Simpan ditempat kering dan sejuk."
"Obat Batuk, Pilek, dan Flu",Neo Rheumacyl,"Neo Rheumacyl digunakan menghilangkan sakit otot, sakit kepala, sakit gigi, dismenore primer dan untuk mengurangi demam.",Efek samping penggunaan Neo Rheumacyl yang mungkin terjadi adalah:,"Interaksi Obat
Dapat Meningkatkan risiko pendarahan jika dikonsumsi bersama dengan warfarin, kortikosteroid, SSRI dan aspirin.","Kontraindikasi
Hindari penggunaan Neo Rheumacyl pada pasien yang memiliki indikasi:"
"Obat Batuk, Pilek, dan Flu",Neo Protifed,"Alergi hingga alami hidung tersumbat? Wah jangan biarkan hal itu mengganggu aktivitasmu, ya. Segera redakan dengan Neo Protifed. Lalu, bagaimana cara penggunaannya?",Neo Protifed digunakan untuk mengatasi rinitis alergi dan hidung tersumbat.,Bentuk: tablet,Tujuan: mengatasi rinitis alergi dan hidung tersumbat.
"Obat Batuk, Pilek, dan Flu",Neo Napacin,Neo Napacin adalah obat dengan kandungan theophylline  untuk meringankan serangan asma. Kamu dapat menemukan Neo Napacin di apotek dalam sediaan tablet.,"Neo Napacin dan obat asma lainnya tidak menimbulkan efek adiksi (ketergantungan). Jadi, kamu tetap perlu minum obat ketika gejala asma kambuh atau sesuai dengan arahan dokter.",Artikel Lainnya: Penyebab Penyakit Asma yang Mesti Diwaspadai,Kamu dapat menemukan Neo Napacin di apotek dalam sediaan tablet.
"Obat Batuk, Pilek, dan Flu",Neo Kaominal,Neo Kaominal merupakan obat yang digunakan untuk pengobatan diare.,Efek samping yang mungkin terjadi selama penggunaan Neo Kaominal seperti sulit buang air besar dan mual.,"Interaksi Obat
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Neo Kaominal: 
Dapat mengurangi penyerapan sejumlah obat (Tetrasiklin, lincomycin, digoxin, aspirin, kloroquin, hidroksi kloroquin, fenotiazin).",Kontraindikasi
"Obat Batuk, Pilek, dan Flu",Neo Kaolana,Neo Kaolana digunakan untuk menghilangkan gejala diare.,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius.","Kontraindikasi
Hindari penggunaan Neo Kaolana pada pasien yang memiliki indikasi penderita dengan hambatan pata usus atau usus tersumbat.","Efek samping yang mungkin terjadi selama pengunaan Neo Kaolana yaitu dapat menyebabkan ketidakseimbangan elektrolit dengan meningkatkan kehilangan natrium dan kalium dalam tinja, terutama pada orang tua, anak-anak dan diare berat."
"Obat Batuk, Pilek, dan Flu",Neo Hormoviton Pasak Bumi,Neo Hormoviton pasak bumi merupakan obat herbal yang mengandung ekstrak ginseng serta ekstrak pasak bumi digunakan untuk suplemen dan daya tahan tubuh dan meningkatkan gairah seksual pria.,"Neo Hormoviton Pasak Bumi adalah suplemen yang mengandung ekstrak Pasak Bumi (Eurycoma longifolia) dan berbagai vitamin serta mineral. Pasak Bumi dikenal memiliki potensi untuk meningkatkan stamina pria dewasa, vitalitas, dan libido.","Sebagai suplemen, Neo Hormoviton Pasak Bumi sebaiknya digunakan sesuai petunjuk dokter atau ahli kesehatan, terutama bagi Kamu yang memiliki kondisi kesehatan yang mendasari atau sedang mengonsumsi obat-obatan lain.","Namun, manfaatnya secara spesifik untuk kesehatan belum sepenuhnya terbukti melalui penelitian ilmiah yang kuat."
"Obat Batuk, Pilek, dan Flu",Neo Gynoxa,Neo Gynoxa merupakan obat yang digunakan sebagai anti jamur.,"Cara Penyimpanan
Simpan pada suhu di bawah 25 derajat Celcius.",Kontraindikasi,Belum ada efek samping yang dilaporkan.
"Obat Batuk, Pilek, dan Flu",Nasonex,Nasonex adalah obat semprot hidung yang digunakan untuk mengobati gejala rhinitis alergi.,"Sebelum digunakan, perhatikan keterangan Nasonex berikut ini:",Artikel Lainnya:  Fakta Seputar Kebiasaan Cuci Hidung Untuk Bantu Cegah Sinusitis,"Nasonex digunakan untuk mengobati gejala rhinitis alergi, polip hidung, serta mengobati gejala yang berhubungan dengan rinosinusitis."
"Obat Batuk, Pilek, dan Flu",Nasamex Forte,Nasamex Forte digunakan untuk mengatasi flu dan mengalirkan cairan pada sinus paranasal.,Efek samping Nasamex Forte yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
"Obat Batuk, Pilek, dan Flu",Nasafed,Nasafed adalah obat yang digunakan untuk mengobati hidung tersumbat dan bersin-bersin serta melegakan pernapasan.,"Nasafed mengandung triprolidine dan pseudoephedrine yang berfungsi untuk mengatasi hidung tersumbat, bersin-bersin, dan melegakan pernapasan.",Aturan penggunaan obat Nasafed secara umum adalah sebagai berikut:,Nasafed adalah obat keras. Obat ini dibeli dan digunakan dengan resep dokter.
"Obat Batuk, Pilek, dan Flu",Nasacort AQ,Nasacort Aq digunakan untuk mengobati gejala rinitis (radang selaput lendir hidung),"Cara Penyimpanan
Simpan pada suhu dibawah 25 derajat Celcius.","Kontraindikasi
Tidak boleh diberikan pada pasien yang hipersensitif.",Efek samping penggunaan Nasacort Aq yang mungkin terjadi adalah:
"Obat Batuk, Pilek, dan Flu",Nalitik,Nalitik digunakan untuk mengencerkan dahak dan mukovisidosis (produksi lendir yang berlebih).,Efek samping penggunaan Nalitik yang mungkin terjadi adalah:,"Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan nalitik ke dalam Kategori B:
Studi pada reproduksi hewan tidak menunjukkan risiko janin, tetapi tidak ada studi terkontrol pada wanita hamil atau studi reproduksi hewan telah menunjukkan efek buruk (selain penurunan kesuburan) yang tidak dikonfirmasi dalam studi terkontrol pada wanita hamil trimester pertama (dan tidak ada bukti risiko pada trimester berikutnya).","Kontraindikasi
Hindari penggunaan pada anak di bawah usia 2 tahun.
 
 Interaksi Obat
Hindari penggunaan Nalitik bersamaan dengan obat-obat beriku:"
"Obat Batuk, Pilek, dan Flu",Nalgestan,"Nalgestan adalah obat yang digunakan untuk mengatasi hidung tersumbat, hidung berair, bersin-bersin, masuk angin, alergi, dan sinusitis. Ini informasi lengkapnya.","Manfaat Nalgestan adalah untuk mengatasi hidung tersumbat, hidung berair, bersin-bersin, masuk angin, alergi, dan sinusitis.",Tujuan: mengatasi gejala flu,"Nalgestan obat yang termasuk golongan obat keras sehingga pembeliannya harus menggunakan resep dokter. Selain itu, penggunaan Nalgestan juga harus dikonsultasikan dengan dokter dan apoteker terlebih dahulu karena dosisnya berbeda-beda setiap individu bergantung pada berat tidaknya penyakit yang diderita."
"Obat Batuk, Pilek, dan Flu",N-Ace,N-Ace adalah obat yang bermanfaat meredakan batuk berdahak. Ketahui informasi selengkapnya di sini.,Obat N-Ace tersedia dalam bentuk kapsul dan cairan inhalasi. Berikut info lengkap mengenai N-Ace.,N-Ace dapat digunakan untuk terapi hipersekresi mukus atau produksi dahak yang berlebih dan tebal pada penyakit:,"Artikel lainnya: Sering Tertukar, Ini Perbedaan Gejala Flu dan Pilek Biasa"
"Obat Batuk, Pilek, dan Flu",Mucylin,Mucylin adalah obat yang digunakan untuk mengencerkan dahak yang menghalangi saluran pernapasan.,Mucylin berfungsi untuk mengencerkan dahak yang menghalangi saluran pernapasan.,"Mucylin merupakan obat keras, sehingga harus dengan resep dokter.","Artikel Lainnya: Ingin Buang Dahak di Tempat Umum, Ini Tipsnya"
"Obat Batuk, Pilek, dan Flu",Muctrien,Muctrien digunakan untuk pengobatan eksaserbasi akut bronkitis kronis.,"Cara Penyimpanan:
Simpan pada suhu 25°C.","Kontraindikasi:
Hindari penggunaan Muctrien pada pasien yang memiliki indikasi hipersensitif terhadap erdosteine,dan riwayat penyakit gangguan hati dan gagal ginjal berat (bersihan kreatinin).","Efek samping yang mungkin terjadi selama penggunaan Muctrien, antara lain:
1. Nyeri
2. Perubahan rasa
3. Gangguan pencernaan: Mual, muntah, diare
4. Gangguan sistem saraf: Sakit kepala
5. Gangguan pernapasan
6. Gangguan kulit."
"Obat Batuk, Pilek, dan Flu",Mucoxol,Mucoxol adalah obat yang digunakan untuk mengatasi keluhan batuk dan pilek.,"Artikel Lainnya: Beda Warna Dahak, Beda Pula Penanganannya",Mucoxol merupakan obat keras dan memerlukan resep dokter.,Mucoxol digunakan untuk mengencerkan dahak.
"Obat Batuk, Pilek, dan Flu",Mucotein,Mucotein adalah obat untuk mengatasi batuk akut pada penyakit bronkitis kronis dan polypnea.,Artikel Lainnya: Cara Ampuh Cegah Penularan Bronkitis di Sekitar Anda,"Mucotein adalah obat keras. Oleh sebab itu, penggunaannya memerlukan resep dokter.","Mucotein digunakan untuk menangani keluhan batuk akut dalam bronkitis kronis, serta mengatasi polypnea."
